Alpha,Beta,MAPprobability,Precision
2.862129058275216,8.935115345820336,0.19,69.6447272085266
2.6759161524476944,9.141603811238301,0.171,73.17484232939371
2.5083245372029253,9.32744343011447,0.153,76.8543391257521
3.357492083482633,8.494699087103024,0.23900000000000002,63.30113193232378
3.1217428751343697,8.745229178392723,0.215,66.37245360538195
2.9095685876209325,8.970706260553449,0.193,69.65028069714522
2.718611728858839,9.173635634498105,0.17400000000000002,73.10849189444113
3.5467505559729555,8.356272071048295,0.257,61.682612574367845
3.29207550037566,8.620644863943465,0.231,64.56989793261467
4.062867950338094,7.858580377549118,0.309,57.51649727424603
3.7565811553042847,8.172722339794205,0.278,59.930208040281364
3.4809230397738564,8.455450105814787,0.25,62.62188773918249
3.2328307357964707,8.709905095233307,0.225,65.55975918730464
3.0095476622168236,8.938914585709977,0.202,68.71573770279063
3.808592895995141,8.14502312713898,0.28200000000000003,59.66680003265827
3.527733606395627,8.430520814425082,0.254,62.30629019391225
3.2749602457560645,8.687468732982573,0.228,65.19673506478863
4.047464221180459,7.918721859684316,0.306,57.92761484122618
4.7427177990624125,7.2268496737158845,0.375,54.21333224767043
5.368446019156171,6.604164706344296,0.438,52.44917050626674
4.931601417240554,7.043748235709867,0.394,53.56778413202174
4.538441275516499,7.43937341213888,0.355,55.14595591865969
5.184597147964849,6.795436070924993,0.419,52.87611040937541
5.766137433168364,6.2158924638324935,0.47700000000000004,52.00138621237385
5.289523689851528,6.694303217449244,0.43,52.65890521587524
4.8605713208663754,7.1248728957043195,0.387,53.86425277824802
5.474514188779738,6.512385606133888,0.448,52.33997921296588
6.0270627699017645,5.9611470455205,0.503,51.9544099564842
5.524356492911588,6.46503234096845,0.453,52.27937776320556
6.071920843620429,5.918529106871605,0.508,51.97030507450402
6.5647287592583865,5.426676196184445,0.557,52.43793300488326
6.008255883332548,5.984008576566001,0.501,51.96927029668896
6.507430294999293,5.485607718909401,0.551,52.352190405890084
6.9566872654993634,5.037046947018461,0.596,53.34139150949779
6.361018538949427,5.633342252316615,0.536,52.1694596728877
6.824916685054484,5.170008027084953,0.583,52.98833203252991
7.242425016549036,4.753007224376458,0.625,54.32128701404043
6.618182514894133,5.377706501938812,0.562,52.545440369961064
7.05636426340472,4.939935851744931,0.606,53.65523170544804
7.450727837064248,4.545942266570439,0.645,55.22438810563882
7.805655053357823,4.191348039913395,0.681,57.177568615389525
8.125089548022041,3.872213235922055,0.713,59.461115755749326
8.412580593219836,3.5849919123298495,0.741,62.03425873919846
8.671322533897854,3.3264927210968644,0.767,64.8638589484006
8.904190280508068,3.0938434489871782,0.791,67.92115307611036
9.113771252457262,2.88445910408846,0.812,71.1796930795871
9.302394127211535,2.6960131936796143,0.8300000000000001,74.61404682462633
9.472154714490383,2.526411874311653,0.847,78.1990106499785
9.624939243041345,2.373770686880488,0.863,81.90918446605166
9.76244531873721,2.236393618192439,0.876,85.71881359801664
8.88620078686349,3.1127542563731954,0.789,67.66036500960422
9.09758070817714,2.9014788307358756,0.81,70.90241471667383
9.287822637359426,2.7113309476622884,0.8290000000000001,74.32242214161933
9.459040373623484,2.5401978528960596,0.846,77.89518809979873
9.613136336261135,2.3861780676064535,0.861,81.5953410737074
8.751822702635021,3.247560260845808,0.775,65.8544060588442
8.97664043237152,3.022804234761227,0.798,68.9800084381856
9.178976389134368,2.8205238112851045,0.8180000000000001,72.29844332546264
9.361078750220932,2.638471430156594,0.836,75.7844254776658
9.52497087519884,2.4746242871409345,0.853,79.4127231424319
9.672473787678957,2.327161858426841,0.867,83.1578298568016
9.80522640891106,2.1944456725841572,0.881,86.99387850505263
9.924703768019956,2.0750011053257413,0.892,90.89473701681644
10.03223339121796,1.9675009947931672,0.903,94.8342376095406
